"Name","PCA_PC1","PCA_PC2","PCA_PC3","PTModel_a","PTModel_b","PTModel_c","Ro16_DTF","Ro17_DTF","Su16_DTF","Su17_DTF","Su18_DTF","Us18_DTF","In16_DTF","In17_DTF","Ba16_DTF","Ba17_DTF","Ne16_DTF","Ne17_DTF","Mo16_DTF","Mo17_DTF","Sp16_DTF","Sp17_DTF","It16_DTF","It17_DTF","Su17_Tf","Ba17_Tf","It17_Tf","Su17_Tb","Ba17_Tb","It17_Tb","Su17_Pf","Ba17_Pf","It17_Pf","Su17_Pc","Ba17_Pc","It17_Pc"
"ILL_4164_AGL",-0.908597692134753,-1.78355817633267,2.18940553957474,-0.0206294000703119,0.000224187102819672,0.0024353198934774,44.6666666666667,42.3333333333333,47.3333333333333,48.3333333333333,42.6666666666667,51.6666666666667,NA,NA,NA,88.3333333333333,121.666666666667,124,112,101.666666666667,110,112.333333333333,123.666666666667,132.666666666667,4842.2,4306.33333333333,4747.5,-82.8738584021879,-27.4731181253262,-25.3005400752532,440.366666666667,393.433333333333,398.4,7.02563248543587,6.47329329561497,7.43988687780155
"ILL_4400_AGL",1.25003261115748,-0.7816358408509,1.07573259955457,-0.0198911470605223,0.000308645014939964,0.00222159842162313,47.3333333333333,46.3333333333333,48.6666666666667,52,44.6666666666667,54,NA,NA,NA,86.3333333333333,118.333333333333,125.666666666667,123,116.333333333333,114,120.333333333333,134.666666666667,138.666666666667,3531.83333333333,3081.36666666667,3318.5,-51.4396369910537,-14.7303062005277,-13.2907246008993,488.566666666667,429.933333333333,438.1,6.7723402121309,5.93876467858025,7.39752186229389
"ILL_4605_AGL",-6.56956279797553,2.8781115781781,-0.0214927136951486,-0.0149022284971595,0.000698806402896576,0.00155075966181536,46,45.3333333333333,47.3333333333333,47.3333333333333,43,51,46.5,55,56,61.6666666666667,85,91.3333333333333,101,86,97,93.6666666666667,111.666666666667,117.333333333333,1438.13333333333,1396.2,1468.83333333333,-14.4031337096341,-3.08544365631488,-2.64161267383177,647.9,680.866666666667,660.733333333333,2.53486601984576,-0.168865912716383,4.56266496926737
"ILL_4609_AGL",1.19040352271576,-1.6716530412254,0.672929581218149,-0.0212430819210399,0.000243819170694588,0.00240961015803164,45,45,49,47,45,54,NA,75,NA,95.5,126.333333333333,129,128,116.333333333333,115.333333333333,123,133.666666666667,140,4191.73333333333,4126.6,4255,-71.9863067914991,-21.5841510834281,-19.6075959576214,418,416.45,405.766666666667,7.22736036079833,6.62024347125029,7.68269802795936
"ILL_4665_AGL",0.766051908197749,0.760502362925675,-0.232510258285775,-0.0190150272587902,0.000361151037965179,0.00208461167895839,49,45.6666666666667,49.3333333333333,53.3333333333333,45.6666666666667,57.6666666666667,66,77,83.6666666666667,84.3333333333333,119.666666666667,118,126,115.666666666667,114,121.333333333333,134.333333333333,138.666666666667,3017.93333333333,2665.4,2814.1,-40.2801577268137,-10.842281478171,-9.68785495861638,521.666666666667,467.933333333333,468.4,6.40165077143044,5.36217361140906,7.18125864144648
"ILL_4671_AGL",1.94216670715954,-0.264735150689514,1.62311699208044,-0.018582624563664,0.000282210117493365,0.00213489689079541,48.6666666666667,46.6666666666667,52,50.6666666666667,46,56,NA,NA,NA,96,123.5,127.333333333333,121,116.333333333333,114,120.666666666667,133.333333333333,138.333333333333,3678.86666666667,3741.5,3670.73333333333,-55.9484384131385,-17.3673477004266,-15.8543637509085,482.966666666667,495.1,460.933333333333,6.62885677525415,5.83572212211906,7.22370776510546
"ILL_4768_AGL",-5.29325394776598,-0.993403492642438,0.885095700177431,-0.0211982658190053,0.000417841038148608,0.00236577926764804,43.6666666666667,38,44.3333333333333,42.6666666666667,40.3333333333333,51,56.3333333333333,72.3333333333333,81,71,102.333333333333,111.666666666667,101,94,97,102.666666666667,116.333333333333,127.666666666667,2436.66666666667,2245.7,2627.5,-40.4239384072199,-11.5481862348978,-10.4158037967675,423.2,404.9,430.5,6.18745870345918,5.12774604844718,6.98224319471818
"ILL_4782_AGL",-5.43959707792823,-1.11335501174646,0.764959802872646,-0.0217329674655727,0.000450765163724212,0.00237641903855986,42,38.3333333333333,45,41.3333333333333,40.6666666666667,51.3333333333333,56.3333333333333,71.3333333333333,82.6666666666667,70.6666666666667,102,107.666666666667,104,98,97,99.6666666666667,116.333333333333,126.333333333333,2202.86666666667,2108.83333333333,2381.1,-36.6651648913865,-9.77813352338481,-8.72374013640436,410.233333333333,409.933333333333,418.333333333333,6.16724330065301,5.02914815057195,7.02081466321381
"ILL_4783_AGL",3.92632163580195,0.667857329762503,-0.573299719746783,-0.0187448202217303,0.00035861271372547,0.00201317720816914,49.3333333333333,47.6666666666667,54,56,46.6666666666667,62,NA,NA,82,99.3333333333333,123.333333333333,126.333333333333,134,139.666666666667,123.333333333333,128,137.333333333333,145,3045.9,3108.2,2800.6,-38.1116795548293,-9.48134000272269,-8.3585815889146,542.1,554.366666666667,487.633333333333,6.51437963981687,5.44558337408245,7.31597683911769
"ILL_4804_AGL",-0.782890939804821,-1.63616087729838,0.890066045331343,-0.0215479713518684,0.000292975481741178,0.00241708284917475,43.6666666666667,44.3333333333333,47.6666666666667,46,42.6666666666667,53,84,NA,90.6666666666667,83.3333333333333,118,121.666666666667,119,106.666666666667,111.666666666667,117,127.666666666667,134.666666666667,3506.1,3164.06666666667,3505.9,-59.2782113255047,-17.202599886861,-15.552575908875,418.8,384.033333333333,393.733333333333,7.01186403036141,6.28460187174437,7.5573106493242
